"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group B";"Wed Jun 23, 2021";"11:00 PM";"A";"";"Ecuador";"4-2-3-1";"x";"2:2";"Copa América 2021";"Peru"
"Group B";"Sun Jun 27, 2021";"11:00 PM";"A";"";"Venezuela";"4-2-3-1";"x";"0:1";"Copa América 2021";"Peru"
"Quarter-Finals";"Fri Jul 2, 2021";"11:00 PM";"H";"";"Paraguay";"4-2-3-1";"x";"7:6  on pens";"Copa América 2021";"Peru"
"Semi-Finals";"Tue Jul 6, 2021";"1:00 AM";"A";"";"Brazil";"5-4-1";"x";"1:0";"Copa América 2021";"Peru"
"Third Place Play-Off";"Sat Jul 10, 2021";"2:00 AM";"A";"";"Colombia";"4-2-3-1";"x";"3:2";"Copa América 2021";"Peru"
"Group A";"Sat Jan 15, 2011";"3:00 AM";"H";"";"Belize";"?";"10.000";"2:0";"Copa Centroamericana 2011";"Panama"
"Group A";"Mon Jan 17, 2011";"1:00 AM";"H";"";"Nicaragua";"?";"7.747";"2:0";"Copa Centroamericana 2011";"Panama"
"Group A";"Wed Jan 19, 2011";"3:00 AM";"H";"";"El Salvador";"?";"10.000";"2:0";"Copa Centroamericana 2011";"Panama"
"Semi-Finals";"Sat Jan 22, 2011";"3:00 AM";"H";"";"Costa Rica";"?";"10.000";"3:5  on pens";"Copa Centroamericana 2011";"Panama"
"Third Place Play-Off";"Sun Jan 23, 2011";"9:30 PM";"A";"";"El Salvador";"?";"2.000";"4:5  on pens";"Copa Centroamericana 2011";"Panama"
"Group B";"Sun Jan 20, 2013";"11:00 PM";"A";"";"El Salvador";"4-4-2 Diamond";"250";"0:0";"Copa Centroamericana 2013";"Panama"
"Group B";"Wed Jan 23, 2013";"1:00 AM";"H";"";"Honduras";"?";"3.450";"1:1";"Copa Centroamericana 2013";"Panama"
"5th place match";"Fri Jan 25, 2013";"10:00 PM";"A";"";"Guatemala";"?";"279";"1:3";"Copa Centroamericana 2013";"Panama"
"Group A";"Sun Sep 7, 2014";"11:00 PM";"A";"";"Costa Rica";"4-4-2 Diamond";"20.156";"2:2";"Copa Centroamericana 2014";"Panama"
"Group A";"Thu Sep 11, 2014";"12:02 AM";"H";"";"Nicaragua";"?";"19.287";"2:0";"Copa Centroamericana 2014";"Panama"
"Third Place Play-Off";"Sun Sep 14, 2014";"3:00 AM";"A";"";"El Salvador";"?";"41.969";"0:1";"Copa Centroamericana 2014";"Panama"
"Group D";"Tue Jun 7, 2016";"1:00 AM";"H";"";"Bolivia";"4-4-2 double 6";"13.466";"2:1";"Copa América Centenario 2016";"Panama"
"Group D";"Sat Jun 11, 2016";"3:30 AM";"A";"";"Argentina";"4-3-3 Attacking";"53.885";"5:0";"Copa América Centenario 2016";"Panama"
"Group D";"Wed Jun 15, 2016";"2:00 AM";"A";"";"Chile";"4-4-2 double 6";"27.260";"4:2";"Copa América Centenario 2016";"Panama"
"Group A";"Sat Jan 14, 2017";"3:00 AM";"H";"";"Belize";"4-2-3-1";"5.702";"0:0";"Copa Centroamericana 2017";"Panama"
"Group A";"Mon Jan 16, 2017";"12:00 AM";"H";"";"Nicaragua";"4-4-2 double 6";"3.309";"2:1";"Copa Centroamericana 2017";"Panama"
"Group A";"Wed Jan 18, 2017";"3:00 AM";"H";"";"Honduras";"4-3-3 Defending";"3.703";"0:1";"Copa Centroamericana 2017";"Panama"
"Group A";"Sat Jan 21, 2017";"3:00 AM";"H";"";"El Salvador";"4-4-2 double 6";"3.374";"1:0";"Copa Centroamericana 2017";"Panama"
"Group A";"Sun Jan 22, 2017";"10:00 PM";"H";"";"Costa Rica";"4-2-3-1";"";"1:0";"Copa Centroamericana 2017";"Panama"
"Group B";"Sat Jan 15, 2011";"1:00 AM";"H";"";"Honduras";"4-4-2 Diamond";"6.000";"1:1";"Copa Centroamericana 2011";"Costa Rica"
"Group B";"Sun Jan 16, 2011";"11:00 PM";"A";"";"Guatemala";"?";"1.500";"0:2";"Copa Centroamericana 2011";"Costa Rica"
"Semi-Finals";"Sat Jan 22, 2011";"3:00 AM";"A";"";"Panama";"4-4-2 Diamond";"10.000";"3:5  on pens";"Copa Centroamericana 2011";"Costa Rica"
"Final";"Mon Jan 24, 2011";"12:00 AM";"A";"";"Honduras";"4-4-2 Diamond";"2.000";"2:1";"Copa Centroamericana 2011";"Costa Rica"
"Group A";"Sat Jan 19, 2013";"3:00 AM";"H";"";"Belize";"4-4-2 Diamond";"5.484";"1:0";"Copa Centroamericana 2013";"Costa Rica"
"Group A";"Mon Jan 21, 2013";"1:00 AM";"H";"";"Nicaragua";"4-4-2 Diamond";"5.980";"2:0";"Copa Centroamericana 2013";"Costa Rica"
"Group A";"Wed Jan 23, 2013";"3:00 AM";"H";"";"Guatemala";"4-4-2 double 6";"6.760";"1:1";"Copa Centroamericana 2013";"Costa Rica"
"Semi-Finals";"Sat Jan 26, 2013";"3:00 AM";"H";"";"El Salvador";"4-4-2 Diamond";"4.993";"1:0";"Copa Centroamericana 2013";"Costa Rica"
"Final";"Mon Jan 28, 2013";"12:01 AM";"H";"";"Honduras";"4-4-2 Diamond";"14.146";"1:0";"Copa Centroamericana 2013";"Costa Rica"
"Group A";"Wed Sep 3, 2014";"11:30 PM";"H";"";"Nicaragua";"4-3-3 Attacking";"20.516";"3:0";"Copa Centroamericana 2014";"Costa Rica"
"Group A";"Sun Sep 7, 2014";"11:00 PM";"H";"";"Panama";"4-3-3 Attacking";"20.156";"2:2";"Copa Centroamericana 2014";"Costa Rica"
"Final";"Sun Sep 14, 2014";"6:00 AM";"A";"";"Guatemala";"4-4-1-1";"41.969";"1:2";"Copa Centroamericana 2014";"Costa Rica"
"Group A";"Sat Jun 4, 2016";"11:00 PM";"H";"";"Paraguay";"5-4-1";"14.334";"0:0";"Copa América Centenario 2016";"Costa Rica"
"Group A";"Wed Jun 8, 2016";"2:00 AM";"A";"";"United States";"5-4-1 Diamond";"39.642";"4:0";"Copa América Centenario 2016";"Costa Rica"
"Group A";"Sun Jun 12, 2016";"3:00 AM";"A";"";"Colombia";"5-4-1";"45.808";"2:3";"Copa América Centenario 2016";"Costa Rica"
"Group A";"Sat Jan 14, 2017";"12:30 AM";"H";"";"El Salvador";"5-4-1";"";"0:0";"Copa Centroamericana 2017";"Costa Rica"
"Group A";"Sun Jan 15, 2017";"7:00 PM";"A";"";"Belize";"5-4-1 Diamond";"";"0:3";"Copa Centroamericana 2017";"Costa Rica"
